Dish name,Dish ID,Ingredients,Raw ingredient name (from Ingredients),Cuisine,Timing,Serving size,Content,Dish type,Food group,Steps,Pre prep,Leftover recycle suggestion,Allergen info,Meals 2
Ajwain Roti,78,"Whole Wheat Flour,Salt (Rock/Pink Himalayan),Ajwain (Carom/Omam),Oil (Sesame/Coconut/Groundnut),Water","Whole Wheat Flour, Salt (Rock/Pink Himalayan), Ajwain (Carom/Omam), Oil (Sesame/Coconut/Groundnut), Water",Indian,Dinner,6 chapati,https://youtu.be/FdGenBBS5PU?si=Kg-TMPYZY1SHEjmQ,Side,Plant-based,"Add flour, ghee, salt, and carom seeds to a large bowl (or parat).
Mix well using your fingers until a crumbly mixture is made. This process also rubs the ajwain and releases its flavor in the flour.
Add water little by little (approx ½ cup) and knead to make a soft chapati dough.
Cover the dough with a kitchen cloth and keep aside for 10 minutes.
Make phulka or chapati the way you prefer.",,,"Egg Free, Nut Free,
Fish Free, Mustard Free, Soy Free",
Bhindi Sabzi,6,"Amchur Powder (mango powder),Coriander Leaves,Coriander Powder,Cumin Seeds,Dried Red Chilli,Kalonji (Nigella/Onion seeds),Ladyfinger (Okra),Mustard Oil,Onion,Salt (Rock/Pink Himalayan),Turmeric Powder","Amchur Powder (mango powder), Coriander Leaves, Coriander Powder, Cumin Seeds, Dried Red Chilli, Kalonji (Nigella/Onion seeds), Ladyfinger (Okra), Mustard Oil, Onion, Salt (Rock/Pink Himalayan), Turmeric Powder",Indian,Lunch,2 adults,https://www.youtube.com/watch?v=V1_-waD4m4I,Mains,"Vegetarian,Plant-based","After washing pat dry the ladyfingers. Discard the heads and chop the ladyfingers.
Heat oil in a pan. Add cumin seeds, nigella seeds, and dried red chillies. Fry for 10 seconds. 
Add onion and fry till light golden. 
Add ladyfingers, potato, salt, coriander powder, turmeric powder, chilli powder and dry mango powder. 
Mix well and cook on low heat till ladyfingers are tender.
Garnish with chopped coriander. 
Serve bhindi ki sabzi warm with chapati. ","Wash ladyfinger with water. 
Spread them on a kitchen towel to dry completely. ",,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Millet Roti,33,"Millet Flour,Salt (Rock/Pink Himalayan),Water,Coconut Oil","Millet Flour, Salt (Rock/Pink Himalayan), Water, Coconut Oil",Indian,Lunch,4 chapati,https://youtu.be/GQSj8-UD4sc?si=xx3Kr_KuSTNZrc9D,Side,"Vegetarian,Plant-based","Combine water, salt, oil in a bowl. 
Boil water. Once it if hot. Turn off the heat.
Add ragi flour. Mix nicley.
Transfer to a bigger bowl or flat surface. Knead to form a smooth dough. 
Shape chapati. Cook it on hot tawa and then on gas flame. 
Serve warm.",,Use leftover chapatis to make pizza or wraps. ,"Gluten Free, Dairy Free,
Soy Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Cucumber Raita,92,"Cucumber,Curd,Cumin Powder (jeera powder),Red Chilli Powder,Salt (Rock/Pink Himalayan),Coriander Leaves,Mint Leaves,Green Chilli","Cucumber, Curd, Cumin Powder (jeera powder), Red Chilli Powder, Salt (Rock/Pink Himalayan), Coriander Leaves, Mint Leaves, Green Chilli",Indian,Lunch,2 adults,https://youtu.be/Ehh2X1E2zGM?si=nLLLodcKzmy_wiCZ,Side,Vegetarian,"Wash and peel off the skin of cucumber.
firstly, grate the cucumber. 
furthermore, add 1 cup whisked curd.
also add chilli powder, roasted cumin powder, salt and coriander leaves.
give a good mix making sure the spices are mixed well.
finally, serve the cucumber raita.",,Use leftover cucumber to make Kakdi Chi Koshimbir.,"Gluten Free, Wheat Free, Nut Free, Soy Free, Egg Free, Fish Free",
Broccoli Almond Soup,42,"Broccoli,Light Olive Oil,Garlic,Coriander Stalks,Onion,Almonds,Vegetable Stock (Broth),Black Pepper Powder,Salt (Rock/Pink Himalayan),Sourdough bread","Broccoli, Light Olive Oil, Garlic, Coriander Stalks, Onion, Almonds, Vegetable Stock (Broth), Black Pepper Powder, Salt (Rock/Pink Himalayan), Sourdough bread",Continental,Dinner,2 adults,https://youtu.be/DMqxTrJ1yTM?si=cFuA0SOVjzZJxXKP,Side,"Vegetarian,Plant-based","Heat olive oil in a saucepan or casserole. Add garlic and onion. Saute them for 2 minutes to release the aroma. No need to brown the garlic or onion.
Next, add almonds (without skin), cilantro stalks, and saute for 1 minute.
Add the broccoli florets. Saute for a minute. Add stock or water, salt, and pepper. Stir to combine. Cover the pan with the lid. Cook the soup for 10 minutes or till broccoli florets are tender.
Blend the soup to a smooth consistency. You can use an immersion blender for this purpose.
Add soup back to the saucepan (if you used a standing blender). Add coconut milk. Bring the soup to the simmer. Stir to combine. Adjust seasoning. Let the soup simmer for 2 – 3 minutes.
Serve Broccoli Soup warm",,,"Gluten Free, Dairy Free
Wheat Free, Egg Free, 
Fish Free. Soy Free,  Mustard Free",
Toasted Sourdough Bread,22,Sourdough bread,Sourdough bread,Continental,All Day,2 adults,,Side,Vegetarian,"Heat a teaspoon of cooking olive oil in a pan. 
Place the bread slices. Toast till they are crisp from both sides. 
You can crisp them in a toasted and drizzle extra virgin olive oil before serving. ",,,,
Grilled Paneer,15,"Coriander Leaves,Cumin Powder (jeera powder),Garam Masala Powder,Ginger Garlic Paste,Red Chilli Powder,Mustard Oil,Onion Powder,Paneer,Salt (Rock/Pink Himalayan),Tahini Paste (white sesame seeds paste)","Coriander Leaves, Cumin Powder (jeera powder), Garam Masala Powder, Ginger Garlic Paste, Red Chilli Powder, Mustard Oil, Onion Powder, Paneer, Salt (Rock/Pink Himalayan), Tahini Paste (white sesame seeds paste)",Indian,Dinner,2 adults,https://www.instagram.com/reel/Cw7iznJBNga/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,Mains,Vegetarian,"Cut paneer into cubes. 
Add all the listed ingredients to the paneer cubes. 
Mix and make sure each piece of paneer is coated nicely with the marindae. 
Cover and let the paneer marinate for minimum 30 minutes or best overnight. 
Heat a grill pan. Once hot arrange marinated paneer cubes on the pan. 
Once charred from one side turn to grill from other side. 
Each side grilling paneer takes 5 - 6 minutes. 
Enjoy warm with a drizzle of lemon juice. ",Marinate Paneer,Use leftover marinated or grilled paneer for sandwich or wrap stuffing. Or add it to leafy salads. ,"Gluten Free, 
Soy Free,
Wheat Free, Egg Free, 
Fish Free",
Broccoli Paneer Stuffed Paratha,85,"Broccoli,Paneer,Ajwain (Carom/Omam),Cumin Powder (jeera powder),Red Chilli Powder,Whole Wheat Flour,Onion,Green Chilli,Ghee","Broccoli, Paneer, Ajwain (Carom/Omam), Cumin Powder (jeera powder), Red Chilli Powder, Whole Wheat Flour, Onion, Green Chilli, Ghee",Indian,Breakfast,4 paratha,https://youtu.be/0AfDFllsa0c?si=QI_J_twdTJWT9QkN,Mains,Vegetarian,"To make the filling, combine all the ingredients for the filling in a large bowl. Check for the salt and spice levels in the filling and adjust to suit your taste.
Roll out a chapati and place the stuffing in half part of it. Cover the roti on stiffing to prepare semi circle paratha. Press the sides of the paratha so that the stuffing doesn't spill out.
Cook the paratha on medium to high flame using required quantity of oil, till crisp from both sides.
Cut semi circle paratha into 3 pcs and serve immediately. 
","Clean, wash, and pat dry the broccoli. 
If you want, can soak it in hot water for 5 minutes.
Pat dry and then finely chop the florets as shown in video or grate it. ",Use leftover Broccoli to make Broccoli Almond Soup. ,"Gluten Free, Wheat Free, Egg Free, 
Fish Free, Mustard Free, Soy Free",
Curd,86,Plain Curd,Plain Curd,Indian,Lunch,2 adults,,Side,Vegetarian,"You can sprinkle cumin powder and rock salt on curd. 
Serve it with paratha as a side dish.",,,,
Browntop Millet Khichdi,7,"Browntop Millet,Cloves,Cumin Seeds,Dried Red Chilli,Coriander Leaves,Garam Masala Powder,Ghee,Ginger Garlic Paste,Hing (Asafoetida),Carrot,Potato,Broccoli,Peas,Pink Masoor Dal,Red Chilli Powder,Onion,Salt (Rock/Pink Himalayan),Tomato,Turmeric Powder,Water,Yellow Moong Dal,Curd","Browntop Millet, Cloves, Cumin Seeds, Dried Red Chilli, Coriander Leaves, Garam Masala Powder, Ghee, Ginger Garlic Paste, Hing (Asafoetida), Carrot, Potato, Broccoli, Peas, Pink Masoor Dal, Red Chilli Powder, Onion, Salt (Rock/Pink Himalayan), Tomato, Turmeric Powder, Water, Yellow Moong Dal, Curd",Indian,Lunch,2 adults,https://www.instagram.com/reel/CqVPnXIhjQp/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA%3D%3D,Mains,"Vegetarian,Plant-based","Rinse the millet with water. Transfer it to a bowl and soak it in water for 8 hours.
Combine both lentils in a bowl. Rinse them with water, then soak them in water for 15 minutes.
Heat oil in a stovetop pressure cooker. Once hot, add cumin, cloves, dried red chillies, and asafoetida. Saute for 20 – 30 seconds to release the aroma of spices and infuse their flavour into the oil.
Add onion and saute them till they turn light brown. This takes 2 – 3 minutes.
Next, add ginger garlic paste, tomato, salt, turmeric powder, and red chilli powder. Stir to combine. Saute the masala till the tomatoes break down.
Add soaked vegetables, millet, and lentils. Saute for 2 minutes.
Add water, mix, and pressure cook millet khichdi for two whistles over low heat. After two whistles, turn off the heat. Allow the steam to release naturally from the pressure cooker.
Once you open the lid of the pressure cooker, add ghee, fresh coriander leaves, and mix one last time. Millet Khichdi is ready to serve.
Serve Vegetable Millet Khichdi warm.","Rinse the millet with water. Transfer it to a bowl and soak it in water for 8 - 10 hours. Combine both lentils in a bowl. Rinse them with water, then soak them in water for 15 minutes.",,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free",
Mint Chutney,36,"Amchur Powder (mango powder),Coriander Leaves,Garlic,Green Chilli,Mint Leaves,Water","Amchur Powder (mango powder), Coriander Leaves, Garlic, Green Chilli, Mint Leaves, Water",Indian,Lunch,1 Cup,https://drive.google.com/file/d/1DrrDSIe6kpgZ5RnndNDL7gPzVHigJpPQ/view?usp=sharing,Chutney,"Vegetarian,Plant-based","First clean and wash the green leaves.
In a blender add all the ingredients to make the chutney along with water or ice cubes.
Blend the ingredients to a smooth paste to make the chutney. If required, add more water. Transfer chutney to a clean bowl.
Serve Mint Chutney with snacks or store in the refrigerator.",,Use leftover chutney as sandwich or wrap spread. ,"Gluten Free, Soy Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Carrot Beetroot Soup,93,"Beetroot,Carrot,Garlic,Coriander Stalks,Water,Butter,Bay Leaf (Tej Patta),Black Pepper Powder,Lemon,Coconut Milk,Coriander Leaves","Beetroot, Carrot, Garlic, Coriander Stalks, Water, Butter, Bay Leaf (Tej Patta), Black Pepper Powder, Lemon, Coconut Milk, Coriander Leaves",Continental,Dinner,2 adults,https://youtu.be/OQfflH69Tcg?si=VttxYlAhnGyC8zrc,Mains,Vegetarian,"In a mixer jar add carrot, beetroot, garlic, coriander stalks and grind it into nice, fine puree using 1/4 cup of water. Strain it in a bowl. Discard the pulp. 
Add remaining 1/4 Cup water in the mixer and save it for later.
Heat butter in a vessel, add bay leaf, carrot beet puree, water from mixer, salt, pepper, mix well and simmer over low heat for 5 - 6 minutes.
Add coconut milk, coriander leaves, and lemon juice. Mix nicely. Turn off the heat.
Garnish it with Cream and our Beetroot Carrot Soup is ready to serve.",,Add leftover beetroot to morning ABC juice or make beetroot chapati.,"Gluten Free, Wheat Free, Nut Free, Soy Free, Egg Free, Fish Free, Mustard Free",
Sauteed Vegetables,94,"Button Mushroom,Yellow Bell Pepper,Red Bell Pepper,Capsicum,Carrot,Broccoli,French Beans,Garlic,Salt (Rock/Pink Himalayan),Black Pepper Powder,Red Chilli Flakes,Oil (Sesame/Coconut/Groundnut),Light Soy Sauce,Spring Onion,Sourdough Bread","Button Mushroom, Yellow Bell Pepper, Red Bell Pepper, Capsicum, Carrot, Broccoli, French Beans, Garlic, Salt (Rock/Pink Himalayan), Black Pepper Powder, Red Chilli Flakes, Oil (Sesame/Coconut/Groundnut), Light Soy Sauce, Spring Onion, Sourdough Bread",Continental,Dinner,2 adults,https://youtu.be/spDs_wzn8To?si=4tjkaeaw_PSI572z,Side,Vegetarian,"Heat oil in a non-stick wok. 
Add garlic and sauté for 30 seconds. 
Add mushrooms and sauté for 1-2 minutes.
Add red capsicum, yellow capsicum and green capsicum and sauté for 1 minute. Add carrot and broccoli and sauté for 1 minute.
Add French beans and sauté for 30 seconds. Add salt, crushed peppercorns and chilli flakes and sauté for 30 seconds.
Add tofu and sauté for 30 seconds. Add soy sauce and sweet-chilli sauce and sauté for 1 minute.
Serve hot garnished with spring onion greens. ",,,"Gluten Free, Wheat Free, Nut Free, Soy Free, Egg Free, Fish Free, Mustard Free",
Eggless Vegan Omlette,73,"Besan (Gram Flour),Rava (Semolina/Suji),Rice Flour,Ajwain (Carom/Omam),Turmeric Powder,Red Chilli Powder,Salt (Rock/Pink Himalayan),Water,Oil (Sesame/Coconut/Groundnut),Sourdough Bread","Besan (Gram Flour), Rava (Semolina/Suji), Rice Flour, Ajwain (Carom/Omam), Turmeric Powder, Red Chilli Powder, Salt (Rock/Pink Himalayan), Water, Oil (Sesame/Coconut/Groundnut), Sourdough Bread",Indian,Breakfast,2 adults,https://youtu.be/QkkTH5U88Nk?si=nb_Ougv1_rAOTrnZ,Mains,"Vegetarian,Plant-based","firstly, in a large bowl take 1.5 cup besan, ¼ cup rava and ¼ cup rice flour.
add ½ tsp ajwain, ¼ tsp turmeric, ½ tsp chilli powder and ¾ tsp salt.
mix well making sure everything is well combined.
now add 2 cup of water and mix well.
whisk and mix making sure there are no lumps.
now add water as required to forming watery consistency batter as of neer dosa batter.
on a pan add 2 tsp oil and spread uniformly.
when the pan is super hot, pour the batter on the pan.
allow to roast for 2 minutes or until the dosa turns crisp.
now flip over and roast until it turns golden brown and crisp.
finally, enjoy besan dosa recipe with chutney.",,,"Dairy Free
Egg Free, 
Fish Free, Mustard Free, Soy Free",
Fresh Matar Ghugni ,48,"Green Peas,Onion,Potato,Tomato,Spring Onion,Green Chilli,Ginger Garlic Paste,Salt (Rock/Pink Himalayan),Red Chilli Powder,Cumin Powder (jeera powder),Turmeric Powder,Mustard Oil,Black Pepper Powder,Lemon,Coriander Leaves,Sourdough bread,Boiled Eggs","Green Peas, Onion, Potato, Tomato, Spring Onion, Green Chilli, Ginger Garlic Paste, Salt (Rock/Pink Himalayan), Red Chilli Powder, Cumin Powder (jeera powder), Turmeric Powder, Mustard Oil, Black Pepper Powder, Lemon, Coriander Leaves, Sourdough bread, Boiled Eggs",Indian,Breakfast,2 adults,https://youtu.be/KWdK1CrBtl8?si=joKEpr5sl_XlW2zw,Mains,Vegetarian,"Heat a heavy bottom skillet or pan over high flame. 
Add all the ingredients and mix nicely. Reduce the heat to low. Cover the pan with a tight-fitting lid. 
Cook ghugni until peas and potatoes are tender. Taste and adjust the seasoning accordingly. 
Season with black pepper, lemon juice, and fresh coriander leaves. 
Serve Matar Ki Ghugni warm with a cup of tea. ",,,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
Green Tofu Curry,44,"Coriander Leaves,Coriander Stalks,Mint Leaves,Green Chilli,""Shallots (Sambar onion)
"",Cashew,Garlic,Ginger,Black Peppercorns,Coconut Milk,Water,Salt (Rock/Pink Himalayan),Jaggery Powder ,Lemon,Thai Bird's Eye Chilli ,Mix Vegetables,Firm Tofu,Fresh Basil Leaves","Coriander Leaves, Coriander Stalks, Mint Leaves, Green Chilli, Shallots (Sambar onion)
, Cashew, Garlic, Ginger, Black Peppercorns, Coconut Milk, Water, Salt (Rock/Pink Himalayan), Jaggery Powder , Lemon, Thai Bird's Eye Chilli , Mix Vegetables, Firm Tofu, Fresh Basil Leaves",Pan Asian,Dinner,2 adults,https://www.instagram.com/reel/CyVq9Voh7tJ/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,Mains,"Vegetarian,Plant-based","Blend coriander leaves and stalks, mint, green chilli, shallots, garlic, ginger, peppercorns to a smooth paste using 2 tablespoons of coconut milk. 
Add it to a pan. Turn on the heat. 
Add remaining coconut milk. Season with salt. Add red chillies. Simmer over low heat for 2 - 3 minutes. 
Add tofu, veggies. Cover and cook over low heat for 5 minutes. 
Add fresh basil leaves before serve. 
Serve green tofu curry warm with rice or nooodles. ",,Use tofu to make grilled tofu or tofu bhurji. ,"Gluten Free, Dairy Free
Wheat Free, Egg Free, 
Fish Free, Mustard Free",
Brown Rice,34,"Brown Rice,Salt (Rock/Pink Himalayan),Water","Brown Rice, Salt (Rock/Pink Himalayan), Water",Indian,Lunch,2 adults,https://www.youtube.com/watch?v=6zeDZvFxXwE,Side,"Vegetarian,Plant-based","Soak brown rice for 30 mins
boil water and add salt
add in brown rice, when water boils, put the flame on medium and cook for 15 mins.
Strain the water and keep the rice to a strainer",Rinse and soak brown rice in water minimum for 30 minutes and best for 1 - 2 hours.,Use leftover brown rice to make fried rice. ,"Gluten Free, Dairy Free,
Soy Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Pumpkin Soup,16,"Black Peppercorns,Coconut Milk,Garlic,Light Olive oil,Onion,Rosemary,Salt (Rock/Pink Himalayan),Vegetable Stock (Broth),Yellow Pumpkin","Black Peppercorns, Coconut Milk, Garlic, Light Olive oil, Onion, Rosemary, Salt (Rock/Pink Himalayan), Vegetable Stock (Broth), Yellow Pumpkin",Continental,Dinner,2 adults,https://youtu.be/OEi14FZxalU?si=DtynrbIk0IORRnaO,Side,"Vegetarian,Plant-based","Heat a teaspoon of olive oil in a saucepan. Add garlic, onion, diced pumpkin and fry it nicely. 
Add warm vegetable stock in the same saucepan. As the liquid comes to a boil reduce the heat to medium and let the soup simmer for 10 minutes more. Taste, add salt, pepper, coconut milk accordingly. Turn off the heat. Blend to a smooth puree. 
Serve Roasted Pumpkin Soup warm garnished with chopped rosemary.","Start off with washing and wiping the pumpkin. Carefully, cut it into halves.
Using a spoon, remove the seeds and fibers from the center of the pumpkin. If a pumpkin is of a little bigger in size, then slice it into the quarter.",,"Gluten Free, Dairy, Free, 
Soy Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Grilled Tofu ,67,"Coriander Leaves,Cumin Powder (jeera powder),Garam Masala Powder,Ginger Garlic Paste,Red Chilli Powder,Mustard Oil,Onion Powder,Firm Tofu,Salt (Rock/Pink Himalayan),Tahini Paste (white sesame seeds paste),Sourdough Bread","Coriander Leaves, Cumin Powder (jeera powder), Garam Masala Powder, Ginger Garlic Paste, Red Chilli Powder, Mustard Oil, Onion Powder, Firm Tofu, Salt (Rock/Pink Himalayan), Tahini Paste (white sesame seeds paste), Sourdough Bread",Indian,Dinner,2 adults,https://www.instagram.com/reel/Cw7iznJBNga/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,Mains,"Vegetarian,Plant-based","Cut tofu into cubes. 
Add all the listed ingredients to the tofu cubes. 
Mix and make sure each piece of tofu is coated nicely with the marindae. 
Cover and let the tofu marinate for minimum 30 minutes or best overnight. 
Heat a grill pan. Once hot arrange marinated tofu cubes on the pan. 
Once charred from one side turn to grill from other side. 
Each side grilling tofu takes 5 - 6 minutes. 
Enjoy warm with a drizzle of lemon juice. ",Marinate Tofu,,"Gluten Free, Wheat Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
Healthy Brown Chana Chaat,54,"""Roasted Chana
"",Onion,Tomato,Cucumber,Green Chilli,Red Chilli Powder,Salt (Rock/Pink Himalayan),Coriander Leaves,Lemon,Mustard Oil","Roasted Chana
, Onion, Tomato, Cucumber, Green Chilli, Red Chilli Powder, Salt (Rock/Pink Himalayan), Coriander Leaves, Lemon, Mustard Oil",Indian,Tea Time,2 adults,https://www.instagram.com/reel/Csi4W-KBNww/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,Snack,"Vegetarian,Plant-based","Combine roasted chana, veggies, salt, spices in a bowl.  
Mix nicely. Add chopped coriander, lemon juice, and mustard oil. 
Mix and enjoy!",,,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free, Dairy Free",
Hung Curd Vegetable Sourdough Sandwich,52,"Sourdough bread,Hung Curd ,Cabbage,Capsicum,Carrot,Coriander Leaves,Oil (Sesame/Coconut/Groundnut),Black Pepper Powder,Oregano,Salt (Rock/Pink Himalayan)","Sourdough bread, Hung Curd , Cabbage, Capsicum, Carrot, Coriander Leaves, Oil (Sesame/Coconut/Groundnut), Black Pepper Powder, Oregano, Salt (Rock/Pink Himalayan)",Continental,Breakfast,4 sandwiches,https://youtu.be/Mm_vqZYsYws?si=9V-LvFFqUwWDXFi3,Mains,Vegetarian,"Add hung curd, green capsicum, carrot, cabbage, coriander, oregano, salt and pepper to a bowl. Use a spoon and mix to combine. Set aside.
Add 2 tablespoons of the hung curd mix on a slice of bread. Spread it evenly. Cover this with another slice of bread to make it a sandwich.
Heat a tawa or frying pan over a high heat. Once hot, place the sandwich in the middle and reduce the flame to medium. Toast on both sides for 2-3 minutes, use oil if required, or until golden brown. Slice diagonally and serve hot!","Tie curd in a muslin cloth in the kitchen tap. 
Let all the liquid drain out from the curd. This takes 2 - 3 hours. ",,"Soy Free,
Egg Free, 
Fish Free",
"Masala Foxnuts


",47,"""Foxnut (Phool Makhana)
"",Ghee,Chaat masala (optional),Red Chilli Powder,Cumin Powder (jeera powder),Mint Powder,Salt (Rock/Pink Himalayan)","Foxnut (Phool Makhana)
, Ghee, Chaat masala (optional), Red Chilli Powder, Cumin Powder (jeera powder), Mint Powder, Salt (Rock/Pink Himalayan)",Indian,Tea Time,2 adults,https://www.instagram.com/reel/CfwDGA0hpmI/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,Snack,Plant-based,"Heat ghee in a stir fry pan. Add salt, spices, and mix nicely. Add foxnut and stir to coat each piece with the spice mix.
Fry over low heat till foxnut turn crisp.
Transfer to a bowl and serve immediately.",,,"Gluten Free, Wheat Free, Soy Free,
Egg Free, 
Fish Free, Mustard Free",
Zero Oil Matar Paneer,80,"Onion,Tomato,Ginger,Garlic,Cashew,Water,Salt (Rock/Pink Himalayan),Red Chilli Powder,Turmeric Powder,Coriander Powder,Green Peas,Paneer,Dried Fenugreek Leaves (Kasuri Methi),Garam Masala Powder,Coriander Leaves","Onion, Tomato, Ginger, Garlic, Cashew, Water, Salt (Rock/Pink Himalayan), Red Chilli Powder, Turmeric Powder, Coriander Powder, Green Peas, Paneer, Dried Fenugreek Leaves (Kasuri Methi), Garam Masala Powder, Coriander Leaves",Indian,Dinner,2 adults,https://youtu.be/bFRSKqI34RM?si=yWe6zQCif-zq__m1,Mains,Vegetarian,"Add onion, tomato, ginger, garlic, cashews, salt, 1/2 cup water in a pressure cooker. 
Cook for 2 whistles over low heat. Allow the steam to release naturally. 
Blend this mixture and add back t o the pressure cooker. Turn on the heat.
Add green peas, salt, spices, kasuri methi and let the gravy simmer over low heat till it thickens. 
Now add paneer cubes, garam masala powder, 1/4 cup of water and mix nicely. 
Simmer for 5 more minutes. Add fresh coriander leaves. 
Serve matar paneer gravy warm with chapati. ",,,"Gluten Free, Wheat Free, Egg Free, 
Fish Free, Mustard Free, Soy Free",
Boiled Quinoa,9,"White Quinoa,Salt (Rock/Pink Himalayan),Water","White Quinoa, Salt (Rock/Pink Himalayan), Water",Continental,Lunch,2 adults,https://www.youtube.com/watch?v=VdaIJo1VeRg,Side,"Vegetarian,Plant-based","Combine quinoa and water in a medium pot. Bring to a boil, cover, reduce the heat, and simmer for 15 minutes.
Remove from the heat and let it sit, covered for 10 more minutes. Fluff with a fork.
Alternatively you can cook it in a pressure cooker over low heat for 1 whistle. Let the steam release naturally. ","Rinse quinoa nicely with water.
Soak it in filtered water for 1 - 2 hours. 
Drain the water before cooking. ",Use leftover boiled quinoa to make salad/soup/fried rice/lemon rice. ,"Gluten Free, Dairy Free, 
Soy Free, Mustard Free,
Wheat Free, Egg Free, 
Fish Free, Nuts Free",
Millet Vermicelli Upma ,18,"Carrot,Coconut Oil,Cumin Seeds,Curry leaves,Green Beans,Green Chilli,Hing (Asafoetida),Lemon,Millet Vermicelli,Mustard Seeds (rai),Peanuts,Onion,Salt (Rock/Pink Himalayan),White Urad Dal,Water","Carrot, Coconut Oil, Cumin Seeds, Curry leaves, Green Beans, Green Chilli, Hing (Asafoetida), Lemon, Millet Vermicelli, Mustard Seeds (rai), Peanuts, Onion, Salt (Rock/Pink Himalayan), White Urad Dal, Water",Indian,Breakfast,2 adults,https://drive.google.com/file/d/1pje8pdzG1YcunDz1jnrrwRsMNhyVLsei/view?usp=sharing,Mains,"Vegetarian,Plant-based","Heat oil in a heavy duty kadai. Add cumin seeds, mustard seeds, urad dal, curry leaves, peanuts, asafoetida, and saute it for 20 - 30 seconds.
Add in onions, green chillies and saute for a minute.
Add in all chopped vegetables and saute it for 2 minutes.
Add in semiya and mix well. Fry for 1 minutes.
Add water and stir to combine. You may need less as the variety of semiya you are using. You can cover the kadai with a lid and cook it on a low heat till all the water is absorbed by the vermicelli. 
Add in coriander leaves, lemon juice, and fluff it up. 
Serve Millet Vermicelli Upma with chutney.",,,"Gluten Free, Dairy Free, 
Soy Free,
Wheat Free, Egg Free, 
Fish Free",
Moong Dal Cheela,69,"Cumin Seeds,Turmeric Powder,Hing (Asafoetida),Red Chilli Powder,Salt (Rock/Pink Himalayan),Curry leaves,Green Chilli,Ginger,Onion,Water,Oil (Sesame/Coconut/Groundnut),Firm Tofu,Salt (Rock/Pink Himalayan),Red Chilli Powder,Cumin Powder (jeera powder),Coriander Leaves,Green Chilli,Dried Fenugreek Leaves (Kasuri Methi),Yellow Moong Dal","Cumin Seeds, Turmeric Powder, Hing (Asafoetida), Red Chilli Powder, Salt (Rock/Pink Himalayan), Curry leaves, Green Chilli, Ginger, Onion, Water, Oil (Sesame/Coconut/Groundnut), Firm Tofu, Salt (Rock/Pink Himalayan), Red Chilli Powder, Cumin Powder (jeera powder), Coriander Leaves, Green Chilli, Dried Fenugreek Leaves (Kasuri Methi), Yellow Moong Dal",Indian,Breakfast,8 cheela,https://youtu.be/vIIq1sLMR0E?si=ak1kHhXlE5T38uah,Mains,"Vegetarian,Plant-based","Wash and soak the moong dal along with fenugreek seeds in water for 3 – 4 hours.
Drain water from the soaked dal. Grind it to a smooth paste along with green chili, and ginger. The batter should be smooth dosa batter like consistency.
Transfer the batter to a mixing bowl. Add spices, salt and whisk for next 5 – 10 minutes using a hand mixer or wire whisk. Set aside till required.
Grate tofu in a bowl. Combine all the stuffing ingredients. Mix nicely and keep aside. 
Heat a heavy bottom dosa pan. Once pan is hot enough sprinkle water to cool it down (watch video) and grease it with a teaspoon of oil/ghee.
Pour a ladle full of batter in the centre of the pan. Using the back of the ladle, spread the batter in circular motion into a thin round.
Drizzle a teaspoon of oil on the sides of the cheela and cook on medium heat till the underside is done. 
Spread two spoonfulls of tofu stuffing on one side of the cheela.
Cover the stuffing with the other half of the cheela. Transfer to a plate.
Serve Moong Dal Cheela with green chutney.",Rinse and soak yellow moong atleast for 6 hours or best overnight.,Use leftover tofu to make Tofu Jalfrezi or Green Tofu Curry. ,"Gluten Free, Wheat Free,
Egg Free, 
Fish Free, Mustard Free, Soy Free, Dairy Free",
